provider_name,dba_name,holding_company_name,holding_company_final,State,technology_code,Consumer,max_advertised_downstream_speed_mbps,max_advertised_upstream_speed_mbps,zip_code,connection_type,hso_provider,Price
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6076,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6078,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6080,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6081,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6082,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6083,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6084,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6085,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6088,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6089,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6090,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6092,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6093,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6095,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6096,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6098,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6101,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6103,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6105,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6106,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6107,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6108,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6109,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6110,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6111,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6112,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6114,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6115,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6117,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6118,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6119,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,940,880,6120,Fiber,frontier,59.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6134,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6155,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6156,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6160,DSL,frontier,49.99
Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,,,1,0,0,6161,DSL,frontier,49.99
